"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"
"3941"	9369250	9691760	8235980	3472689	10758690	5786694	10242420	7630660	9428250	9266380
"1921"	8316610	7192150	6328890	2181320	6122340	3408488	6456690	5445020	4668560	5043627
"4863"	103710	140640	136740	65362	140590	122110	135680	148940	118760	89506
"4973"	444621.6	488344	378687	171938.5	300368.6	317877	302211.1	295628.4	452063	321680
"713"	7215660	20256160	8191330	3752509	13458030	6071320	13713300	6660870	6672340	12313310
"6091"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2883.6
"1910"	58380330	56920110	36490060	23130779	66486640	31147010	65859870	35853440	41803990	47591280
"6721"	2181007	2483004	8118530	1156538	1474841	2941164	1885749	4791360	2077980	1666333
"4915"	13297950	8181860	7138161	3839058	10454620	6838695	10115210	7827108	7386380	9849530
"1733"	5918830	6352730	11017900	2871540	5484770	7026200	5430540	8791090	5159760	6120470
"1216"	2858535	3556840	2198420	1300596	2881352	2135195	2729277	2146324	2033536	1943500
"4471"	6738420	6187050	7158070	3317635	5134098	5889468	5244720	5885259	4957578	5972534
"3736"	493738	926750	467022	607837	505651	554197	506964	490297	1122200	814559
"400"	32894	61475	33006	19163	26733	34128	21613	40345	42388	30506
"1639"	822340	1358160	799402.1	166742.8	702887.6	668714.9	518731	672083.8	493560	1078844.5
"6374"	21100240	10980310	6815210	3905491	9567370	5707250	9604660	7501844	5526230	6815190
"3834"	2340289	2230935	2307041	939183	2419844	1985288	2287704	2055017	1564786	3100830
"1702"	3228199	2780400	4928980	2111167	3473380	4554980	3374080	4833860	2606950	3522570
"6360"	1082383	908660	1094330	713715	757332	997480	839613	860565	1473098	1247595
"3571"	7947496	11165467	7802174	5237782	6416560	8958496	6878325	7887653	6586307	7185906
"5170"	3040190	2631250	2369920	1085046	2477820	1766390	2313880	2259950	2082910	2161210
"5646"	10744120	6910891	6331415	5901522	7128280	6761249	6837160	5669948	5910992	5295197
"5030"	10288570	9151230	7193013	4556516	6798151	6482246	6989481	7132503	7248044	8238059
"3734"	932175	713259	1018740	353769	847939	907332	931795	844986	572111	891563
"457"	3896430	2081530	1849147	1520848	3761333	1971858	3886638	2022387	1550340	3177010
"3669"	142949	146404	151278	117635	136489	152948	137686	159213	138412	133768
"4592"	8730522	9236854	4512142	4271641	3861079	3980277	4294802	5838605	8119250	5867251
"3201"	240550	240298	321959	128179	201829	215488	203918	269898	179798	183547
"4882"	873368	711796	884544	475221	426523	649496	386742	680328	1096586	821316
