"id"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"P55011"	2021733.33333333	1722066.66666667	1601600	323190	296843.333333333	300470	752380	632770	706536.666666667	402120	286383.333333333	271680	262543.333333333	1284133.33333333	1390933.33333333	1393166.66666667	632113.333333333	445040	622783.333333333	418426.666666667
"P37108"	2191626.66666667	1382733.33333333	1862436.66666667	1126380	1174893.33333333	1463943.33333333	1455356.66666667	1416780	1492973.33333333	1129533.33333333	1648106.66666667	1421990	1359233.33333333	1665300	1519273.33333333	1783570	1628726.66666667	1444036.66666667	1571036.66666667	1277420
"Q8N697"	33007	26107	16002.2	25684	26132	23821	10283	10818	8234.8	16630	24113	19655	21328	20083	20516	18608	10605	8293.7	9940.7	16053
"Q9Y4H2"	16888	13812	12840.2666666667	138832.333333333	113706.333333333	116133.333333333	24742.3333333333	21247.6666666667	28134	44472	205462.333333333	204675.333333333	195265	17670.3333333333	14898	13685.6666666667	45129.3333333333	38622.3333333333	45991	73763.3333333333
"O75822"	897810	737863.333333333	761640	654956.666666667	537836.666666667	579043.333333333	862060	721740	788346.666666667	576290	747903.333333333	717733.333333333	652526.666666667	705626.666666667	712026.666666667	748876.666666667	942343.333333333	767350	853920	606673.333333333
"Q9UH36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P36578"	4631466.66666667	3845800	3675600	4002600	3303466.66666667	3768966.66666667	4241800	3409933.33333333	3626766.66666667	2928200	5594833.33333333	5420433.33333333	4549500	3969966.66666667	4336566.66666667	4241000	4751500	3798766.66666667	4295366.66666667	3521033.33333333
"B5MCB4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q96P70"	541763.333333333	441620	430686.666666667	982643.333333333	834970	872916.666666667	609906.666666667	540410	612043.333333333	527423.333333333	1144300	1145763.33333333	930820	395370	443886.666666667	426973.333333333	762066.666666667	546176.666666667	630546.666666667	568880
"P28482"	743573.333333333	606043.333333333	630810	633990	488253.333333333	599566.666666667	1263360	1157410	1214493.33333333	547553.333333333	933680	916016.666666667	938270	731870	833110	754570	1922300	1397833.33333333	1582600	824603.333333333
