"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"
"G3UY42"	141855.5	274230	173200	147480	189940	192770	70327	74433	69362	141770	149310	105690
"A2ARS0"	1534300	688728.333333333	1204973.33333333	1658333.33333333	1637280	2047810	1018670	848550	934076.666666667	398860.333333333	579400	604413.333333333
"P63085"	7850966.66666667	6062200	4816016.66666667	4377416.66666667	7344510	5914500	14272166.6666667	15162566.6666667	13325466.6666667	9374500	7826100	12500866.6666667
"D3Z3G6"	1325385	904430	1141945	498130	1243910	784375	3375350	4139050	3376250	2519200	1919350	3100150
"Q3TLR3"	17013	6679.7	11430	NA	14240	14479	235733.333333333	399395	391580	277255	171823.5	314721.666666667
"Q8BKC5"	770910	729753.333333333	567743.333333333	393166.666666667	442490	460966.666666667	631380	488136.666666667	647203.333333333	525426.666666667	328026.666666667	761733.333333333
"Q9CX34"	NA	NA	NA	NA	NA	NA	325425	187800.9	210552.733333333	195435	172930	230175.5
"D3Z4J5"	725980	487850	670440	344380	499670	515140	NA	NA	NA	NA	NA	NA
"E9PU87"	346169	217685.666666667	274378	159363.666666667	246718	224611	212900	212770	214720	118840	101750	230650
"B1AX98"	583256.666666667	607100	416316.666666667	373926.666666667	579653.333333333	405120	289972	348293.333333333	301390	252740	161976.333333333	312296.666666667
"Q8BG32"	904430	897350	740065	531190	682295	636350	820503.333333333	841923.333333333	688890	772210	575996.666666667	786623.333333333
"Q8C2E1"	4002700	2789000	3850666.66666667	2469346.66666667	4184066.66666667	3197166.66666667	6883900	7511866.66666667	6945933.33333333	4211666.66666667	3909066.66666667	6594133.33333333
"P63213"	6137533.33333333	3086800	3558993.33333333	2174563.33333333	3366656.66666667	2213260	13691846.6666667	15863866.6666667	16502083.3333333	8831633.33333333	4945836.66666667	14695540
"P63216"	862920	779270	872520	734470	1313600	653410	906183	854293.666666667	1003883	676719.466666667	320123.333333333	1197593
"O35445"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9ESJ4"	548130	308550	405450	270173.333333333	444056.666666667	284213.333333333	602860	563740	546416.666666667	444446.666666667	407230	693396.666666667
"P97807"	3658483.33333333	2913623.33333333	3173790	1686080	2744418	2387820	4934933.33333333	5102266.66666667	4503166.66666667	4285400	3867300	4669933.33333333
"Q80TT4"	1092296.66666667	656470	910420	747393.333333333	850630	915126.666666667	3270533.33333333	3520100	2930766.66666667	2000966.66666667	2390300	2475966.66666667
"Q8C845"	2598933.33333333	2318100	4136466.66666667	1365776.66666667	2391933.33333333	1359000	2179343.33333333	2164366.66666667	2009666.66666667	2329573.33333333	1362496.66666667	3146866.66666667
"Q0PD35"	1266850	950790	918685	525375	728640	676575	1578995	1826160	1814125	1026065	783495	1423370
"Q8BIJ7"	107940	106610	95703	94561	144860	94195	69065	73781	81713	54580	37363	98377
"Q9QYX7"	1194116.66666667	874636.666666667	1108566.66666667	884806.666666667	1557433.33333333	947770	1547800	1708833.33333333	1265883.33333333	1270763.33333333	779716.666666667	1580500
"Q9Z266"	65574	50631	47979	20331	50320	39249	NA	NA	NA	NA	NA	NA
"Q3UHB8"	502200	360420	391425	299080	616415	379120	391240	518390	382970	389680	244690	457690
"Q3THQ5"	11529400	10892900	10472833.3333333	5867033.33333333	11448900	7155900	13465766.6666667	15770100	13151533.3333333	10182533.3333333	7450166.66666667	12345200
"Q9D9P1"	2546423.33333333	2286456.66666667	2425140	1594233.33333333	2745200	2067366.66666667	2662910	2715336.66666667	2226386.66666667	2021976.66666667	1958696.66666667	2440406.66666667
"Q543K9"	564770	680670	645000	230455	339925	314620	237998.5	250212.5	277750	256040	176294	261185
"A0A087WRM2"	387606.666666667	227306.666666667	258023.333333333	186960	197201.333333333	201703.333333333	277846.666666667	238336.666666667	276386.666666667	206583.333333333	148000	290586.666666667
"F6U7V1"	572810	498093.333333333	426340	355846.666666667	565786.666666667	388186.666666667	726806.666666667	615303.333333333	669453.333333333	614063.333333333	436970	800140
"Q3UFJ3"	8751400	7197533.33333333	7589833.33333333	4724866.66666667	7371633.33333333	6770200	7908400	8950300	8044200	6419933.33333333	6049366.66666667	8439233.33333333
"E9QP59"	NA	NA	NA	NA	NA	NA	22411	34158	28825	10210	10014	26481
"B9EIX2"	158073.666666667	104740	120336	90431	153935.333333333	84000.6666666667	238053.333333333	283666.666666667	204860	203526.666666667	145826.666666667	220433.333333333
"Q8BW35"	312300	318920	230070	103450	265570	161290	201830	233130	196200	124880	132660	174810
"Q80TM9"	231515	167330	154160	108662.5	171250	152085	NA	NA	NA	NA	NA	NA
"Q91VA7"	3664566.66666667	2711300	3126500	1652120	2237133.33333333	2553900	6170600	6949066.66666667	6670166.66666667	5391733.33333333	4404900	7641600
"Q3THC1"	787963.333333333	696743.333333333	672723.333333333	382603.333333333	798923.333333333	528493.333333333	613003.333333333	638010	581433.333333333	467523.333333333	393725	589293.333333333
"Q8BR90"	NA	NA	NA	NA	NA	NA	6437.6	1678.8	NA	6266.4	3101.1	1982.5
"P42669"	1205400	833440	1022763.33333333	500220	572330	707293.333333333	605710	512646.666666667	538966.666666667	534923.333333333	482476.666666667	687886.666666667
"Q14AG7"	207006.666666667	118777	190606.666666667	83891.3333333333	72411	139070	415393.333333333	333880	353026.666666667	365330	281363.333333333	375050
