"id"	"ER/PR+ MCF7_UT_19"	"ER/PR+ MCF7_UT_20"	"ER/PR+ MCF7_UT_21"	"MCF 10A_UT_22"	"MCF 10A_UT_23"	"MCF 10A_UT_24"	"HER2+ HCC 1954_UT_25"	"HER2+ HCC 1954_UT_26"	"HER2+ HCC 1954_UT_27"	"MCF 10A_TR_28"	"MCF 10A_TR_29"	"MCF 10A_TR_30"	"ER/PR+ MCF7_TR_31"	"ER/PR+ MCF7_TR_32"	"ER/PR+ MCF7_TR_33"	"HER2+ HCC 1954_TR_34"	"HER2+ HCC 1954_TR_35"	"HER2+ HCC 1954_TR_36"
"P55011"	"20.5607734565983"	"20.6205547219501"	"20.4787703843663"	"18.4308471725463"	"18.538129797838"	"18.4136168821419"	"19.6666024652633"	"19.560066986897"	"19.5849396174895"	"17.9745594895868"	"17.8964182420215"	"18.0775535253248"	"20.0791541426742"	"20.2423564765129"	"20.1744321393681"	"19.1223497834917"	"18.9572875654819"	"19.2500274498156"
"P37108"	"20.6860722150814"	"20.2933987535986"	"20.7040687002293"	"20.2358792966003"	"20.5192763993931"	"20.7283744771948"	"20.6182755580843"	"20.7251860628412"	"20.6769259834512"	"20.4950079718411"	"20.262419163"	"20.4021479269825"	"20.4342961195919"	"20.374819973392"	"20.5176530867444"	"20.5022472614855"	"20.6518197459882"	"20.5978639980992"
"Q8N697"	"14.6161283744172"	"14.5466612547885"	"13.7594871612429"	"14.747852792415"	"15.0087444796703"	"14.701643860297"	"13.5631597565636"	"13.709125231285"	"13.16354296512"	"14.4664853440166"	"14.1483342187035"	"14.4785349377391"	"14.0887270978664"	"14.1339403219639"	"13.9252234055282"	"13.2897421146446"	"13.2180223824451"	"13.2895760413153"
"Q9Y4H2"	"13.648504798738"	"13.5651196220789"	"13.4578814264995"	"17.1632903804741"	"17.1040109817062"	"16.9939964320828"	"14.8117641343703"	"14.6818308704092"	"14.9467902248928"	"17.5189135244629"	"17.5002758697302"	"17.6483923730623"	"13.9028544759414"	"13.7119155769694"	"13.5023922770804"	"15.3500254958436"	"15.452113012794"	"15.5092481069978"
"O75822"	"19.4007323474481"	"19.3829467176715"	"19.4012652078948"	"19.446260067371"	"19.4008340818367"	"19.364623443907"	"19.8470340520083"	"19.7498276250467"	"19.7470001569399"	"19.3447664211613"	"19.2663169988741"	"19.3517954020032"	"19.1852779303056"	"19.2572112654599"	"19.2553694370349"	"19.6816271166007"	"19.725949165359"	"19.6959750547514"
"Q9UH36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P36578"	"21.8378305486333"	"21.8126025748851"	"21.7579868889972"	"21.9932075121489"	"22.017637282517"	"22.047800231614"	"22.0911050980867"	"21.9162848581565"	"21.9330512891073"	"22.2687535256208"	"22.1895953558201"	"22.0723017963008"	"21.7935026813949"	"21.9036960449518"	"21.8722416142199"	"22.0050512948666"	"22.0248023874519"	"22.0376896891607"
"B5MCB4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q96P70"	"18.6706550290427"	"18.643550475698"	"18.5714917320726"	"20.0182753376538"	"20.0004582994358"	"19.9475476835563"	"19.3855761683347"	"19.3388405386341"	"19.3821608175202"	"19.9782696433781"	"19.9681695128444"	"19.8554457302184"	"18.3693279970914"	"18.5851026949759"	"18.4278267302146"	"19.3863896895702"	"19.2351478223606"	"19.2706704683877"
"P28482"	"19.1207739200465"	"19.1180946239545"	"19.1200110791815"	"19.403265412895"	"19.263144176672"	"19.4225805108028"	"20.4043744112479"	"20.4557942598747"	"20.3787510423892"	"19.6982330420081"	"19.6412692889193"	"19.8721405552402"	"19.2528245656316"	"19.513265025834"	"19.2651628195132"	"20.7283602863031"	"20.6143852874306"	"20.6120608574724"
