"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"	"Reporter.intensity.corrected.7.TMT2"	"Reporter.intensity.corrected.8.TMT2"	"Reporter.intensity.corrected.9.TMT2"	"Reporter.intensity.corrected.10.TMT2"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"P55011"	344790	321303.333333333	306673.333333333	294340	310263.333333333	299213.333333333	343193.333333333	295233.333333333	313830	612476.666666667	310033.333333333	217023.333333333	242036.666666667	230623.333333333	233426.666666667	239843.333333333	225186.666666667	199196.666666667	225573.333333333	475693.333333333	2021733.33333333	1722066.66666667	1601600	323190	296843.333333333	300470	752380	632770	706536.666666667	402120	286383.333333333	271680	262543.333333333	1284133.33333333	1390933.33333333	1393166.66666667	632113.333333333	445040	622783.333333333	418426.666666667
"Q86U42"	593826.666666667	561296.666666667	486236.666666667	726446.666666667	635160	679183.333333333	1158076.66666667	985713.333333333	1031216.66666667	773293.333333333	583463.333333333	450350	479013.333333333	642950	639470	576940	789133.333333333	867523.333333333	847240	654483.333333333	940686.666666667	744933.333333333	800756.666666667	322480	268843.333333333	318080	513630	484873.333333333	459186.666666667	401290	384476.666666667	369653.333333333	330983.333333333	748930	734113.333333333	775720	593430	478780	552550	404596.666666667
"P37108"	1462476.66666667	1362243.33333333	1258923.33333333	1289123.33333333	1279013.33333333	1287320	1266416.66666667	1081023.33333333	1099596.66666667	1227260	2189833.33333333	1630326.66666667	1805133.33333333	1568650	1626193.33333333	1588520	1350790	1277980	1351286.66666667	1639190	2199693.33333333	1387833.33333333	1868703.33333333	1131480	1179526.66666667	1470243.33333333	1460856.66666667	1423480	1499073.33333333	1134033.33333333	1648106.66666667	1421990	1359233.33333333	1665300	1519273.33333333	1783570	1628726.66666667	1444036.66666667	1571036.66666667	1277420
"Q96JP5"	39958.6666666667	36635.6666666667	32366.6333333333	68507	53190	55255.6666666667	47136.6666666667	41291.3333333333	43771	43010	37455.55	25287.9	34848.8	50337.95	44825	48475.15	33477.25	35886.2	33423.2	29268.35	20295	16936.5	18161	15793.5	15097.5	14722.5	18017	18162.5	18798	20117.5	15741.9	13720.1	23753	13998.65	13885.75	14331.35	14926.3	12044.5	16658.8	20513.95
"Q8N697"	22752	24569.3333333333	19537.6666666667	27246	24773	30309.3333333333	10951.6666666667	11040.1	12410.7333333333	17351	23066.5	15349	18922.5	29103.5	22745.5	24035	9262.35	8533.65	10591.75	16166	33007	26107	16002.2	25684	26132	23821	10283	10818	8234.8	16630	24113	19655	21328	20083	20516	18608	10605	8293.7	9940.7	16053
"Q9Y4H2"	290400	239336.666666667	230050	118260.666666667	122438.333333333	122870.666666667	70982.6666666667	61719.6666666667	58585	135020.333333333	214213.333333333	148418	186076.666666667	78058	77393	74285.6666666667	44348.6666666667	42271.3333333333	40794.6666666667	78697	16888	13812	12840.2666666667	138832.333333333	113706.333333333	116133.333333333	24742.3333333333	21247.6666666667	28134	44472	205462.333333333	204675.333333333	195265	17670.3333333333	14898	13685.6666666667	45129.3333333333	38622.3333333333	45991	73763.3333333333
"O75822"	872850	754963.333333333	723943.333333333	702090	694520	675893.333333333	1546866.66666667	1259800	1305966.66666667	891276.666666667	1167563.33333333	800543.333333333	959233.333333333	761333.333333333	742533.333333333	706756.666666667	1499766.66666667	1383533.33333333	1442733.33333333	894653.333333333	897810	737863.333333333	761640	654956.666666667	537836.666666667	579043.333333333	862060	721740	788346.666666667	576290	747903.333333333	717733.333333333	652526.666666667	705626.666666667	712026.666666667	748876.666666667	942343.333333333	767350	853920	606673.333333333
"Q9UH36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P36578"	7169700	5974900	5477166.66666667	4593200	4446666.66666667	4614566.66666667	4690933.33333333	3781800	4026100	5315633.33333333	7523500	4909933.33333333	6085333.33333333	4309766.66666667	4570200	4277833.33333333	4243833.33333333	3878566.66666667	4225533.33333333	5021133.33333333	4631466.66666667	3845800	3675600	4002600	3303466.66666667	3768966.66666667	4241800	3409933.33333333	3626766.66666667	2928200	5594833.33333333	5420433.33333333	4549500	3969966.66666667	4336566.66666667	4241000	4751500	3798766.66666667	4295366.66666667	3521033.33333333
"B5MCB4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q6ZT12"	18079.3333333333	16661.3333333333	17099.6666666667	17501.6666666667	18254	16854.3333333333	32930.3333333333	33705	30704.6666666667	28750.3333333333	33547.3333333333	24465.3333333333	29579.5	27035	25466.2	26660.6333333333	47454	42992.3333333333	53002	32835.6666666667	90407	72592.6666666667	75595.6666666667	46312.4666666667	33634.4333333333	36021.3333333333	41474.3333333333	36210.3333333333	45490.3333333333	34703.6666666667	45452.3333333333	37311.6666666667	41161	56748.6666666667	68803.3333333333	65129.3333333333	47394.6666666667	39134.3333333333	46779	39119.6666666667
"Q96P70"	1627866.66666667	1715300	1411000	795296.666666667	747320	786866.666666667	1006216.66666667	921230	903233.333333333	1035826.66666667	1803366.66666667	1342063.33333333	1489263.33333333	809393.333333333	729600	758700	879506.666666667	824593.333333333	886313.333333333	926573.333333333	541763.333333333	441620	430686.666666667	982643.333333333	834970	872916.666666667	609906.666666667	540410	612043.333333333	527423.333333333	1144300	1145763.33333333	930820	395370	443886.666666667	426973.333333333	762066.666666667	546176.666666667	630546.666666667	568880
"P28482"	1065660	942633.333333333	838900	911503.333333333	871096.666666667	902510	1258780	1012506.66666667	1098266.66666667	1066553.33333333	776936.666666667	547066.666666667	644500	610133.333333333	611850	612153.333333333	713526.666666667	682713.333333333	737290	708793.333333333	743573.333333333	606043.333333333	630810	633990	488253.333333333	599566.666666667	1263360	1157410	1214493.33333333	547553.333333333	933680	916016.666666667	938270	731870	833110	754570	1922300	1397833.33333333	1582600	824603.333333333
"P09417"	925500	792823.333333333	744626.666666667	581000	558290	584893.333333333	745176.666666667	647266.666666667	666833.333333333	605746.666666667	1190366.66666667	934496.666666667	990140	758460	718520	759166.666666667	851076.666666667	790223.333333333	889416.666666667	811916.666666667	343466.666666667	287260	322020	694223.333333333	523400	618160	526286.666666667	511663.333333333	559126.666666667	395703.333333333	716786.666666667	746126.666666667	783076.666666667	197840	190373.333333333	208090	685440	568536.666666667	610093.333333333	449043.333333333
"Q9UID3"	223150	228610	193730	254450	250400	268283.333333333	254230	225320	234246.666666667	252346.666666667	204536.666666667	150488.333333333	154426.666666667	229393.333333333	217726.666666667	194576.666666667	189046.666666667	182873.333333333	200930	187386.666666667	145696.666666667	123700	135173.333333333	80456	68881.3333333333	77801.6666666667	142380	124513.333333333	137080	85221.6666666667	130328	128568	96152	165238.333333333	158781.666666667	166660.333333333	211762.333333333	167813.666666667	197766.666666667	126078
"Q9NR33"	110424.9	104241.033333333	96417.2333333333	107734.066666667	117279.9	107972.2	140423.7	131140.35	150341.9	94546.6666666667	224909	185834	198200.333333333	250539	253343.666666667	242584	156475.566666667	146132.8	176111	176269.333333333	160182	134634.5	138984	111314	99495.5	113324.5	80206.5	64295.5	80022	95736	88023.3	94298.3333333333	76491.3333333333	85513.7333333333	94174.3666666667	91944.4	58841.8	46078.0666666667	49049.3	67475.8333333333
"Q8NCE2"	41649	48913.6666666667	40213.3333333333	46160	47078.3333333333	46922.3333333333	45698.6666666667	48504	42836	45012	42073.3333333333	33447.3333333333	33817	49243.3333333333	47029.3333333333	47529	40401.0333333333	40148.3333333333	45809.3333333333	44848.3333333333	15680.3666666667	12956.8	14818.4666666667	7999.46666666667	5111.83333333333	7383.03333333333	5897.96666666667	6780.83333333333	7305.9	7086.6	12782.4	10724.5	13904.35	20688.65	22625.95	19967	12829.15	9087.1	12017.75	10979.1
"Q6SPF0"	31013	31766.5	26507	53293.5	45033.5	44599.5	60681.5	55850	56724	41903	26358.6666666667	17107.6666666667	22135	29804.6666666667	26411.6666666667	24786.6666666667	32109	33294.3333333333	34555.3333333333	24303.3333333333	84943	72864	66646.6666666667	29195.6666666667	29817	38042	27612.6666666667	27853.3333333333	28096.3333333333	32163.6666666667	61182.3333333333	59527.3333333333	48672.6666666667	101330.333333333	99756.3333333333	102989.666666667	43164	40218.6666666667	42558.6666666667	47958.3333333333
"Q86X55"	662493.333333333	563456.666666667	546846.666666667	617056.666666667	535280	591106.666666667	669603.333333333	552696.666666667	551603.333333333	644840	568810	402066.666666667	464776.666666667	431513.333333333	429773.333333333	417020	452170	447516.666666667	467073.333333333	466296.666666667	606350	530506.666666667	548706.666666667	309190	244036.666666667	294176.666666667	368636.666666667	334013.333333333	346070	269866.666666667	447973.333333333	426803.333333333	254320	719976.666666667	621086.666666667	700056.666666667	554660	439520	512676.666666667	390036.666666667
