"id"	"Intensity.12500amol_R1"	"Intensity.12500amol_R2"	"Intensity.12500amol_R3"	"Intensity.125amol_R1"	"Intensity.125amol_R2"	"Intensity.125amol_R3"	"Intensity.25000amol_R1"	"Intensity.25000amol_R2"	"Intensity.25000amol_R3"	"Intensity.2500amol_R1"	"Intensity.2500amol_R2"	"Intensity.2500amol_R3"	"Intensity.250amol_R1"	"Intensity.250amol_R2"	"Intensity.250amol_R3"	"Intensity.50000amol_R1"	"Intensity.50000amol_R2"	"Intensity.50000amol_R3"	"Intensity.5000amol_R1"	"Intensity.5000amol_R2"	"Intensity.5000amol_R3"	"Intensity.500amol_R1"	"Intensity.500amol_R2"	"Intensity.500amol_R3"	"Intensity.50amol_R1"	"Intensity.50amol_R2"	"Intensity.50amol_R3"
"P09938"	23757333.3333333	25070000	26956333.3333333	22169666.6666667	15934333.3333333	14894100	23824333.3333333	24700333.3333333	33286666.6666667	21154000	16477666.6666667	15974333.3333333	19378666.6666667	14302333.3333333	22372333.3333333	33055666.6666667	28209000	28770333.3333333	16071000	18989000	18711666.6666667	23811000	14699666.6666667	14363933.3333333	22528666.6666667	16912000	16895666.6666667
"P15705"	29078666.6666667	23825666.6666667	29184666.6666667	30562666.6666667	28212000	26266000	27312333.3333333	32428000	25917000	25677666.6666667	25806666.6666667	32500000	26750333.3333333	24544333.3333333	25758666.6666667	24975000	33589333.3333333	36262000	28403000	28812666.6666667	24812000	28698666.6666667	34042000	22694000	41352666.6666667	34643000	37181000
"Q06505"	1974300	1720500	1921100	2011750	NA	1727300	NA	NA	NA	1822100	1994800	1573900	NA	2454100	2112600	NA	1438900	NA	2077900	1867400	NA	NA	NA	NA	1485400	NA	1438350
"P25694"	13636333.3333333	15058333.3333333	18898333.3333333	17903333.3333333	15614000	13821833.3333333	13351933.3333333	25995333.3333333	16575333.3333333	13839333.3333333	13582400	16301200	13754566.6666667	15713000	17865333.3333333	17655666.6666667	23474666.6666667	14888333.3333333	14301000	13790666.6666667	16799666.6666667	17137666.6666667	15507666.6666667	14958066.6666667	11852966.6666667	16355000	16257000
"P00925"	825580000	820306666.666667	1086253333.33333	1099570000	860976666.666667	1077840000	987493333.333333	1171966666.66667	1046973333.33333	839783333.333333	829673333.333333	837826666.666667	954406666.666667	535733333.333333	780086666.666667	1032236666.66667	1072823333.33333	1020470000	6.48e+08	837606666.666667	832440000	870223333.333333	699650000	568970000	674443333.333333	661330000	887553333.333333
"P32263"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13598000	NA	NA	NA	NA	NA	NA	15417000	NA	NA	11818000	NA	NA
"Q99258"	3638200	NA	1686700	2867500	2356100	1636000	NA	NA	2090500	1837200	NA	1813300	NA	1805100	2061150	2724900	NA	4383500	3092200	NA	1268700	2440700	2410400	2115750	3878700	5996866.66666667	6219100
"P07342"	16263900	10990266.6666667	18928666.6666667	21316000	19389800	18934366.6666667	15577933.3333333	9002133.33333333	17306533.3333333	23029666.6666667	21803000	15906833.3333333	11960833.3333333	16678933.3333333	17868933.3333333	20435766.6666667	13130633.3333333	17468700	15721066.6666667	14803500	11700066.6666667	17655500	13267933.3333333	13450500	25222000	17276000	16601233.3333333
"Q12363"	25064666.6666667	28383000	23649666.6666667	27673333.3333333	24757000	27654333.3333333	24074333.3333333	35714333.3333333	31217333.3333333	25526333.3333333	26417000	27789000	24950000	23455333.3333333	22210666.6666667	29168333.3333333	29490000	30872000	27613000	28806666.6666667	25530666.6666667	29720000	28997000	25101666.6666667	32349000	27369666.6666667	22660000
"A6ZXP4"	12048733.3333333	12298500	12809366.6666667	14001000	14384333.3333333	9796333.33333333	11671233.3333333	5036633.33333333	13741666.6666667	10303733.3333333	13537800	9394566.66666667	14172266.6666667	8926533.33333333	10220033.3333333	14358666.6666667	13645233.3333333	9140433.33333333	4947033.33333333	12737733.3333333	9957600	15532666.6666667	9072200	5074000	7084666.66666667	5901566.66666667	15559400
"P17967"	22607000	17896833.3333333	18653266.6666667	28634000	18031066.6666667	13910466.6666667	19117666.6666667	19687500	19852666.6666667	20468000	21599666.6666667	18023500	18493666.6666667	9762433.33333333	20911000	21997666.6666667	19014666.6666667	20048000	9176433.33333333	19095333.3333333	17685833.3333333	18441333.3333333	11096733.3333333	7296833.33333333	14880666.6666667	20277666.6666667	18142466.6666667
"P19097"	56804333.3333333	53590000	53344333.3333333	36625333.3333333	42473666.6666667	44991333.3333333	51029666.6666667	62060666.6666667	58600000	59503666.6666667	54227666.6666667	38115333.3333333	41101666.6666667	42723333.3333333	30152000	62146000	53543666.6666667	39685666.6666667	37722333.3333333	55915666.6666667	53952000	34874000	38720000	49276000	34496666.6666667	39611000	41282000
"P16862"	21601000	18348666.6666667	22216333.3333333	16839000	17681333.3333333	17014333.3333333	17809000	30055666.6666667	21830666.6666667	17393666.6666667	16024333.3333333	20646333.3333333	20434666.6666667	16657000	19622000	22692333.3333333	21662000	20702666.6666667	18043000	17071666.6666667	17275333.3333333	18776000	18493666.6666667	17138000	30568000	16899333.3333333	16836666.6666667
"P00175"	11407000	NA	9562900	8458400	7923600	6689866.66666667	7248000	9479000	9986400	NA	5968600	NA	8154250	9206500	8077066.66666667	10120900	9430700	9933233.33333333	6852600	NA	NA	NA	4771900	4829800	5387700	8173350	6359433.33333333
"P38689"	4123500	4692700	4658300	NA	NA	6977400	5766200	6800600	7264100	5439550	5608000	5665400	4715100	NA	5232900	NA	1837700	2801700	4795100	4752400	4813800	NA	6492200	NA	3541850	5429400	4822266.66666667
"P38431"	11743100	10729633.3333333	7489800	12422600	7014133.33333333	7491133.33333333	7684733.33333333	9050933.33333333	11184900	9545066.66666667	7404533.33333333	8395733.33333333	9767050	7801400	11240966.6666667	11032366.6666667	11017666.6666667	8760300	9386733.33333333	5835600	7270700	8071100	9094566.66666667	8145466.66666667	8232800	6270233.33333333	7933466.66666667
"P38011"	112995333.333333	114122000	117225333.333333	98085333.3333333	96896666.6666667	72108666.6666667	106906333.333333	107338333.333333	111675333.333333	108059666.666667	75485333.3333333	57571000	106594000	74537333.3333333	71950333.3333333	122157000	123208000	126613333.333333	55029000	75841000	78668333.3333333	71768000	68364666.6666667	88817333.3333333	82615000	115941333.333333	81406666.6666667
"P07149"	51137333.3333333	50497666.6666667	54339333.3333333	52136000	44868666.6666667	48832000	53347666.6666667	58309333.3333333	54333000	47394666.6666667	48771666.6666667	30526333.3333333	48746666.6666667	48879666.6666667	39221000	59269666.6666667	53610000	40465333.3333333	31401333.3333333	49795000	41786666.6666667	44939000	31485000	47112666.6666667	36677666.6666667	48009666.6666667	47248333.3333333
"Q00711"	NA	4111400	4501400	3888500	4412500	4411450	2920300	NA	9654900	3238300	NA	NA	3897900	NA	4353750	6179666.66666667	5348550	5971900	NA	NA	NA	NA	6054900	4280050	7368950	3945900	NA
"P17649"	10439133.3333333	13231333.3333333	5948933.33333333	13563500	10722133.3333333	5645600	6788900	10748333.3333333	10329966.6666667	11847600	6853300	11286666.6666667	10051000	10715866.6666667	9291200	12604000	13094433.3333333	10271366.6666667	13492333.3333333	12890500	11490900	12028100	11735200	12008333.3333333	9223166.66666667	10930100	10927733.3333333
"P07256"	12108366.6666667	13496666.6666667	12296433.3333333	15886333.3333333	13798366.6666667	12658233.3333333	12796500	13798000	12653666.6666667	12923900	13906333.3333333	14396333.3333333	15218333.3333333	14684666.6666667	14002333.3333333	13735666.6666667	13311333.3333333	12889333.3333333	14693000	12623266.6666667	12942666.6666667	15345333.3333333	12893000	12653000	20310666.6666667	17429666.6666667	16844666.6666667
"P53252"	15191666.6666667	18645000	21051333.3333333	26048666.6666667	24140000	21179000	18275666.6666667	26708333.3333333	17442333.3333333	21041000	15032333.3333333	16583666.6666667	17557000	23120000	19585333.3333333	20048333.3333333	22398333.3333333	19791000	17199666.6666667	20856000	18168666.6666667	18778000	17663666.6666667	17140333.3333333	25774000	19651333.3333333	25580333.3333333
"P25443"	33480000	41872666.6666667	48245000	53933000	59549500	46729000	50346666.6666667	49368666.6666667	32130333.3333333	25898333.3333333	28734000	47272000	39217000	28798500	40576000	58538000	61065666.6666667	61709666.6666667	53459000	48793500	50124500	30551500	51713500	54084500	69649000	57377500	49023500
"P10622"	42643000	44884000	42450000	41838000	40170000	38573000	40897000	49966000	47078000	40775000	40015000	41300000	38771000	39166000	37679000	55894000	48010000	52096000	41862000	41359000	42054000	43926000	44296000	40713000	53698000	47740000	42573000
"P38625"	11411666.6666667	7733100	7290366.66666667	11283433.3333333	8196666.66666667	8181400	5785150	11061000	6589900	7279050	11590733.3333333	9083766.66666667	5234050	10273000	7683600	11395433.3333333	11625000	10257966.6666667	12004250	7681066.66666667	10533933.3333333	11795500	12060800	11745500	11196900	11660866.6666667	11072700
"P00560"	441093333.333333	441463333.333333	426956666.666667	498456666.666667	486623333.333333	486273333.333333	442620000	521163333.333333	465300000	444680000	459890000	393763333.333333	470696666.666667	462730000	458053333.333333	506240000	465523333.333333	487770000	392666666.666667	387013333.333333	386716666.666667	476153333.333333	397513333.333333	413626666.666667	318310000	380310000	538953333.333333
"P02406"	39663333.3333333	37645666.6666667	38940666.6666667	37768000	37686333.3333333	40379000	36931666.6666667	46022000	39848000	39648000	36900333.3333333	40635333.3333333	22485200	39218333.3333333	44401666.6666667	55355333.3333333	46814666.6666667	47794000	42299000	44856000	37758000	42462666.6666667	47167000	47661666.6666667	41206666.6666667	37553333.3333333	43336000
"P40212"	60389666.6666667	59135666.6666667	54138333.3333333	47063333.3333333	59855000	57265000	53568666.6666667	71669666.6666667	67275666.6666667	35706000	55919333.3333333	58366666.6666667	38575000	58984333.3333333	40038333.3333333	67372666.6666667	68009000	69053333.3333333	60856666.6666667	37884000	59428666.6666667	38411666.6666667	65035333.3333333	64175333.3333333	57346000	61241666.6666667	42131000
"P07702"	7730950	NA	4804600	NA	NA	NA	NA	NA	NA	2655200	NA	NA	NA	NA	15143000	NA	NA	NA	NA	22724000	NA	NA	NA	NA	3134800	NA	NA
"Q12213"	93131666.6666667	91202000	54772000	93681333.3333333	93812333.3333333	66489000	86495333.3333333	97547000	95666666.6666667	74676666.6666667	90200000	86771000	50200033.3333333	91098333.3333333	63326000	78440666.6666667	73188333.3333333	73889666.6666667	93313333.3333333	93912333.3333333	80569333.3333333	76288000	92973333.3333333	98867666.6666667	87797333.3333333	63921000	89221666.6666667
"P33421"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9073900	NA	NA	NA	NA	NA	NA	NA	NA	5831500	9499700	7116600
"P06168"	57244333.3333333	58463666.6666667	71474666.6666667	67870333.3333333	66373666.6666667	49815333.3333333	58619000	70100333.3333333	63218000	55723333.3333333	61134333.3333333	63874000	68560000	61196000	69181666.6666667	82656666.6666667	74342000	77479000	51102333.3333333	59388000	60669000	75447000	56148333.3333333	62272666.6666667	77872000	80373333.3333333	83188333.3333333
"P0CX40"	66004333.3333333	44831000	67228666.6666667	44328333.3333333	45850000	44496000	61927333.3333333	55356000	48910666.6666667	44973000	44034333.3333333	45035666.6666667	36537033.3333333	39223666.6666667	41861266.6666667	85017333.3333333	84703333.3333333	83416000	45928333.3333333	45221666.6666667	45405000	46360000	73843666.6666667	44305000	82670000	78382666.6666667	84610333.3333333
"Q75CC6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3182500	NA	NA
"P32366"	5615100	NA	4537950	NA	NA	NA	4928000	9294000	NA	7019900	4968900	NA	NA	NA	4923300	6609350	NA	NA	NA	NA	5605100	NA	1542600	NA	1787000	2469700	NA
"P07245"	16327000	20624000	19341333.3333333	19731333.3333333	20466333.3333333	20201000	18779333.3333333	22951000	20781333.3333333	18573666.6666667	17917333.3333333	14941333.3333333	17331333.3333333	19898333.3333333	20547333.3333333	19834333.3333333	19804000	19597666.6666667	17050000	21697333.3333333	17094000	20767000	20454333.3333333	20501333.3333333	25515666.6666667	22419333.3333333	19785333.3333333
"P12081ups|SYHC_HUMAN_UPS"	10599000	11594000	10975666.6666667	NA	NA	NA	19997666.6666667	27654333.3333333	23648000	5206900	4802900	5089600	3576900	4998700	NA	66057000	57452666.6666667	55362333.3333333	4644566.66666667	5020800	4710333.33333333	4490300	5181500	4661800	NA	NA	NA
"Q08601"	NA	NA	NA	3343200	2042600	NA	NA	NA	NA	NA	NA	NA	2087400	2356200	1660300	NA	3159900	NA	NA	NA	NA	NA	NA	NA	2643300	NA	2836100
"P46655"	20589333.3333333	21474333.3333333	20178666.6666667	22826333.3333333	21731333.3333333	21515000	19396000	24680666.6666667	20219000	18759000	18562666.6666667	19239666.6666667	21735666.6666667	18492666.6666667	24795666.6666667	25893333.3333333	23454333.3333333	22892000	19137000	20471666.6666667	17981000	22356333.3333333	22793000	20355666.6666667	22068666.6666667	23605666.6666667	21880333.3333333
"P39730"	11914233.3333333	9062500	7699300	11533066.6666667	9222933.33333333	10676333.3333333	10996233.3333333	7155033.33333333	14074600	7921233.33333333	9260300	11670533.3333333	6416100	12984200	9930966.66666667	15924666.6666667	12337000	14984000	8168233.33333333	6674333.33333333	10655766.6666667	9535233.33333333	13909300	6363966.66666667	9113333.33333333	10079166.6666667	10003733.3333333
"P15703"	29014033.3333333	28597333.3333333	30447666.6666667	28438200	30885266.6666667	28550166.6666667	26028166.6666667	44074333.3333333	31491666.6666667	37320333.3333333	35882000	29391433.3333333	14391100	29963300	40904500	43520000	42355000	38778666.6666667	35870000	35888666.6666667	35347000	40141333.3333333	39167666.6666667	39684666.6666667	32657000	31127666.6666667	32218000
"P38754"	26030000	27207000	42356666.6666667	20292333.3333333	27033000	19404000	40794000	51175000	48227333.3333333	25637333.3333333	24692666.6666667	24471666.6666667	22466666.6666667	24665666.6666667	25066333.3333333	51125000	50688666.6666667	49502666.6666667	26478666.6666667	27915666.6666667	26693333.3333333	28296666.6666667	24257333.3333333	27011333.3333333	17189233.3333333	20406333.3333333	18943333.3333333
"P38998"	3703900	6255600	5032250	6438450	5931700	5371950	7097950	NA	8168100	6909100	5030550	4708250	6331900	3800600	5824400	7478000	6975366.66666667	5434000	4081100	4224800	3443200	6027850	4053700	4377800	5716600	5204350	4820350
"P39708"	25090933.3333333	8428750	8359200	9933400	8415533.33333333	8353566.66666667	8511200	7766400	9768400	7384150	24517500	8473900	8075133.33333333	8801400	7664350	8469000	8729300	10392000	85236550	7741700	6716300	6954900	6888033.33333333	62618666.6666667	8796100	7133400	6086366.66666667
"P07262"	45612333.3333333	59308000	56006666.6666667	47650666.6666667	44318666.6666667	43225000	55612333.3333333	66651333.3333333	58482333.3333333	47179666.6666667	45596666.6666667	45473333.3333333	40658666.6666667	44360333.3333333	61150666.6666667	57204333.3333333	47720666.6666667	45984000	45140000	45718666.6666667	46730333.3333333	45593000	47436333.3333333	45121000	52897000	48390333.3333333	45682000
"P07259"	54011000	54218333.3333333	54438000	55446666.6666667	45287000	58094666.6666667	50343000	68888666.6666667	64360666.6666667	55439666.6666667	55832666.6666667	47288333.3333333	56849666.6666667	42652000	55810000	58304666.6666667	59968000	56768000	50486000	52930666.6666667	52587666.6666667	61778000	47219333.3333333	41634333.3333333	36607000	42251000	55001333.3333333
"P00924"	132799666.666667	138277666.666667	138296666.666667	148796666.666667	144373333.333333	139846666.666667	132641333.333333	172270000	137474666.666667	145380000	140973333.333333	136912666.666667	137095333.333333	137613666.666667	140170000	174963333.333333	169003333.333333	162926666.666667	136821333.333333	136183333.333333	139332666.666667	145745000	140363333.333333	144952000	175026666.666667	144466666.666667	135720000
"P09624"	9907933.33333333	10323066.6666667	10654433.3333333	11086833.3333333	9167166.66666667	8476966.66666667	10735200	13696000	11924333.3333333	6878433.33333333	8495300	10787900	6416800	11204700	8225266.66666667	13825000	12496000	12987666.6666667	10175600	10553000	8507466.66666667	8136800	12660866.6666667	8583550	10761866.6666667	9741033.33333333	11518333.3333333
"P03962"	16933566.6666667	16273533.3333333	13887433.3333333	14196466.6666667	4282233.33333333	11919766.6666667	1284500	18471733.3333333	17347533.3333333	10763466.6666667	10349266.6666667	12122900	18954933.3333333	2043416.66666667	13601533.3333333	14311900	14368500	14451800	9606333.33333333	9960300	9421000	19516343.3333333	2211663.33333333	2412050	8144933.33333333	6224166.66666667	8054500
"Q06523"	3907000	6811700	NA	7980700	8461800	8183200	2695600	NA	8890100	NA	NA	NA	NA	NA	NA	9380800	9127500	NA	6741600	7767200	9040700	NA	9217600	8480300	4518200	8810700	9767600
"P19882"	65140333.3333333	63611000	68723000	75647333.3333333	70262000	65648000	64294333.3333333	79117000	70967000	67915333.3333333	61793000	68339333.3333333	71763333.3333333	61376666.6666667	69400000	71961666.6666667	79566000	69917000	62810666.6666667	63891666.6666667	61975666.6666667	79868666.6666667	66817666.6666667	72020000	55851666.6666667	62111333.3333333	59533333.3333333
